team,name,birthday,age,club,games,goals
Czech Republic,David Limberský (8),06/10/1983,32,Plzeň,1,-
Czech Republic,Tomáš Sivok (6),15/09/1983,32,Bursaspor,1,-
Czech Republic,Marek Suchý (17),29/03/1988,28,Basel,-,-
Czech Republic,Vladimír Darida (22),08/08/1990,25,Hertha,1,-
Czech Republic,Bořek Dočkal (9),30/09/1988,27,Sparta Praha,-,-
Czech Republic,Daniel Kolář (14),27/10/1985,30,Plzeň,-,-
Czech Republic,Ladislav Krejčí (19),05/07/1992,23,Sparta Praha,1,-
Czech Republic,David Pavelka (15),18/05/1991,25,Kasımpaşa,1,-
Czech Republic,Jaroslav Plašil (13),05/01/1982,34,Bordeaux,1,-
Czech Republic,Daniel Pudil (11),27/09/1985,30,Sheff. Wednesday,-,-
Czech Republic,Tomáš Rosický (10),04/10/1980,35,Arsenal,1,-
Czech Republic,Jiří Skalák (20),12/03/1992,24,Brighton,-,-
Czech Republic,Josef Šural (18),30/05/1990,26,Sparta Praha,1,-
Czech Republic,David Lafata (21),18/09/1981,34,Sparta Praha,1,-
Czech Republic,Tomáš Necid (7),13/08/1989,26,Bursaspor,1,-
Czech Republic,Milan Škoda (12),16/01/1986,30,Slavia Praha,-,-
England,Fraser  Forster (13),17/03/1988,28,Southampton,-,-
England,Joe Hart (1),19/04/1987,29,Man. City,2,2
England,Tom Heaton (23),15/04/1986,30,Burnley,-,-
England,Ryan Bertrand (21),05/08/1989,26,Southampton,-,-
England,Gary Cahill (5),19/12/1985,30,Chelsea,2,-
England,Nathaniel Clyne (12),05/04/1991,25,Liverpool,-,-
England,Danny Rose (3),02/07/1990,25,Tottenham,2,-
England,Chris Smalling (6),22/11/1989,26,Man. United,2,-
England,John Stones (16),28/05/1994,22,Everton,-,-
England,Kyle Walker (2),28/05/1990,26,Tottenham,2,-
England,Dele Alli (20),11/04/1996,20,Tottenham,2,-
England,Ross Barkley (19),05/12/1993,22,Everton,-,-
England,Eric Dier (17),15/01/1994,22,Tottenham,2,1
England,Jordan Henderson (14),17/06/1990,25,Liverpool,-,-
England,Adam Lallana (8),10/05/1988,28,Liverpool,2,-
England,James Milner (4),04/01/1986,30,Liverpool,1,-
England,Raheem Sterling (7),08/12/1994,21,Man. City,2,-
England,Jack Wilshere (18),01/01/1992,24,Arsenal,1,-
England,Harry Kane (9),28/07/1993,22,Tottenham,2,-
England,Marcus Rashford (22),31/10/1997,18,Man. United,1,-
England,Wayne Rooney (10),24/10/1985,30,Man. United,2,-
England,Daniel Sturridge (15),01/09/1989,26,Liverpool,1,1
England,Jamie Vardy (11),11/01/1987,29,Leicester,1,1
France,Benoît Costil (23),03/07/1987,28,Rennes,-,-
France,Hugo Lloris (1),26/12/1986,29,Tottenham,2,1
France,Steve Mandanda (16),28/03/1985,31,Marseille,-,-
France,Lucas Digne (17),20/07/1993,22,Roma,-,-
France,Patrice Evra (3),15/05/1981,35,Juventus,2,-
France,Christophe Jallet (2),31/10/1983,32,Lyon,-,-
France,Laurent Koscielny (21),10/09/1985,30,Arsenal,2,-
France,Eliaquim Mangala (13),13/02/1991,25,Man. City,-,-
France,Adil Rami (4),27/12/1985,30,Sevilla,2,-
France,Bacary  Sagna (19),14/02/1983,33,Man. City,2,-
France,Samuel Umtiti (22),14/11/1993,22,Lyon,-,-
France,Yohan Cabaye (6),14/01/1986,30,Crystal Palace,-,-
France,Kingsley Coman (20),13/06/1996,20,Bayern,2,-
France,N'Golo Kanté (5),29/03/1991,25,Leicester,2,-
France,Blaise Matuidi (14),09/04/1987,29,Paris,2,-
France,Dimitri Payet (8),29/03/1987,29,West Ham,2,2
France,Paul Pogba (15),15/03/1993,23,Juventus,2,-
France,Morgan Schneiderlin (12),08/11/1989,26,Man. United,-,-
France,Moussa Sissoko (18),16/08/1989,26,Newcastle,1,-
France,André-Pierre Gignac (10),05/12/1985,30,Tigres,1,-
France,Olivier Giroud (9),30/09/1986,29,Arsenal,2,1
France,Antoine Griezmann (7),21/03/1991,25,Atlético,2,1
France,Anthony Martial (11),05/12/1995,20,Man. United,2,-
Germany,Bernd Leno (12),04/03/1992,24,Leverkusen,-,-
Germany,Manuel Neuer (1),27/03/1986,30,Bayern,1,-
Germany,Marc-André ter Stegen (22),30/04/1992,24,Barcelona,-,-
Germany,Jérôme Boateng (17),03/09/1988,27,Bayern,1,-
Germany,Jonas Hector (3),27/05/1990,26,Köln,1,-
Germany,Benedikt Höwedes (4),29/02/1988,28,Schalke,1,-
Germany,Mats Hummels (5),16/12/1988,27,Dortmund,-,-
Germany,Joshua Kimmich (21),08/02/1995,21,Bayern,-,-
Germany,Shkodran Mustafi (2),17/04/1992,24,Valencia,1,1
Germany,Jonathan Tah (16),11/02/1996,20,Leverkusen,-,-
Germany,Emre Can (14),12/01/1994,22,Liverpool,-,-
Germany,Julian Draxler (11),20/09/1993,22,Wolfsburg,1,-
Germany,Mario Götze (19),03/06/1992,24,Bayern,1,-
Germany,Sami Khedira (6),04/04/1987,29,Juventus,1,-
Germany,Toni Kroos (18),04/01/1990,26,Real Madrid,1,-
Germany,Mesut  Özil (8),15/10/1988,27,Arsenal,1,-
Germany,Leroy Sané (20),11/01/1996,20,Schalke,-,-
Germany,André Schürrle (9),06/11/1990,25,Wolfsburg,1,-
Germany,Bastian Schweinsteiger (7),01/08/1984,31,Man. United,1,1
Germany,Julian Weigl (15),08/09/1995,20,Dortmund,-,-
Germany,Mario Gomez (23),10/07/1985,30,Beşiktaş,-,-
Germany,Thomas Müller (13),13/09/1989,26,Bayern,1,-
Germany,Lukas Podolski (10),04/06/1985,31,Galatasaray,-,-
Hungary,Dénes Dibusz (12),16/11/1990,25,Ferencváros,-,-
Hungary,Péter Gulácsi (22),06/05/1990,26,Leipzig,-,-
Hungary,Gábor Király (1),01/04/1976,40,Haladás,1,-
Hungary,Barnabás Bese (21),06/05/1994,22,MTK,-,-
Hungary,Attila Fiola (5),17/02/1990,26,Puskás Akadémia,1,-
Hungary,Richárd Guzmics (20),16/04/1987,29,Wisła,1,-
Hungary,Roland Juhász (23),01/07/1983,32,Videoton,-,-
Hungary,Tamás Kádár (4),14/03/1990,26,Lech,1,-
Hungary,Mihály Korhut (3),01/12/1988,27,Debrecen,-,-
Hungary,Ádám Lang (2),17/01/1993,23,Videoton,1,-
Hungary,Ádám Pintér (16),12/06/1988,28,Ferencváros,1,-
Hungary,Ákos Elek (6),21/07/1988,27,Diósgyőr,-,-
Hungary,László Kleinheisler  (15),08/04/1994,22,Bremen,1,-
Hungary,Gergő Lovrencsics (14),01/09/1988,27,Lech,-,-
Hungary,Ádám Nagy (8),17/06/1995,20,Ferencváros,1,-
Hungary,Zoltán  Stieber (18),16/10/1988,27,Nürnberg,1,1
Hungary,Dániel Böde (13),24/10/1986,29,Ferencváros,-,-
Hungary,Balázs Dzsudzsák (7),23/12/1986,29,Bursaspor,1,-
Hungary,Zoltán Gera (10),22/04/1979,37,Ferencváros,1,-
Hungary,Krisztián Németh (11),05/01/1989,27,Al-Gharafa,1,-
Hungary,Nemanja Nikolić (17),31/12/1987,28,Legia,-,-
Hungary,Tamás Priskin (19),27/09/1986,29,Slovan Bratislava,1,-
Hungary,Ádám Szalai (9),09/12/1987,28,Hannover,1,1
Iceland,Hannes Halldórsson (1),27/04/1984,32,Bodø/Glimt,1,1
Iceland,Ingvar Jónsson (13),18/10/1989,26,Sandefjord,-,-
Iceland,Ögmundur Kristinsson (12),19/06/1989,26,Hammarby,-,-
Iceland,Elmar Bjarnason (18),04/03/1987,29,AGF,1,-
Iceland,Haukur Heidar Hauksson (3),01/09/1991,24,AIK,-,-
Iceland,Hjörtur Hermannsson (4),08/02/1995,21,Göteborg,-,-
Iceland,Sverrir Ingason (5),05/08/1993,22,Lokeren,-,-
Iceland,Hordur Magnússon (19),11/02/1993,23,Cesena,-,-
Iceland,Birkir Sævarsson (2),11/11/1984,31,Hammarby,1,-
Iceland,Ragnar Sigurdsson (6),19/06/1986,29,Krasnodar,1,-
Iceland,Ari Skúlason (23),14/05/1987,29,OB,1,-
Iceland,Arnor Ingvi Traustason (21),30/04/1993,23,Norrköping,-,-
Iceland,Kári Árnason (14),13/10/1982,33,Malmö,1,-
Iceland,Birkir Bjarnason (8),27/05/1988,28,Basel,1,1
Iceland,Aron Gunnarsson (17),22/04/1989,27,Cardiff,1,-
Iceland,Emil Hallfredsson (20),29/06/1984,31,Udinese,-,-
Iceland,Gylfi Sigurdsson (10),08/09/1989,26,Swansea,1,-
Iceland,Rúnar Már Sigurjónsson (16),18/06/1990,25,Sundsvall,-,-
Iceland,Jón Dadi Bödvarsson (15),25/05/1992,24,Kaiserslautern,1,-
Iceland,Alfred Finnbogason (11),01/02/1989,27,Augsburg,1,-
Iceland,Eidur Gudjohnsen (22),15/09/1978,37,Molde,-,-
Iceland,Johann Gudmundsson (7),27/10/1990,25,Charlton,1,-
Iceland,Kolbeinn Sigthórsson (9),14/03/1990,26,Nantes,1,-
Italy,Gianluigi Buffon (1),28/01/1978,38,Juventus,1,-
Italy,Federico Marchetti (13),07/02/1983,33,Lazio,-,-
Italy,Salvatore Sirigu (12),12/01/1987,29,Paris,-,-
Italy,Andrea Barzagli (15),08/05/1981,35,Juventus,1,-
Italy,Leonardo Bonucci (19),01/05/1987,29,Juventus,1,-
Italy,Giorgio Chiellini (3),14/08/1984,31,Juventus,1,-
Italy,Matteo  Darmian (4),02/12/1989,26,Man. United,1,-
Italy,Mattia De Sciglio (2),20/10/1992,23,Milan,1,-
Italy,Angelo Ogbonna (5),23/05/1988,28,West Ham,-,-
Italy,Federico Bernardeschi (21),16/02/1994,22,Fiorentina,-,-
Italy,Antonio Candreva (6),28/02/1987,29,Lazio,1,-
Italy,Daniele De Rossi (16),24/07/1983,32,Roma,1,-
Italy,Alessandro Florenzi (8),11/03/1991,25,Roma,-,-
Italy,Emanuele Giaccherini (23),05/05/1985,31,Bologna,1,1
Italy,Thiago Motta (10),28/08/1982,33,Paris,1,-
Italy,Marco Parolo (18),25/01/1985,31,Lazio,1,-
Italy,Stefano Sturaro (14),09/03/1993,23,Juventus,-,-
Italy,Éder (17),15/11/1986,29,Internazionale,1,-
Italy,Stephan El Shaarawy (22),27/10/1992,23,Roma,-,-
Italy,Ciro Immobile (11),20/02/1990,26,Torino,1,-
Italy,Lorenzo Insigne (20),04/06/1991,25,Napoli,-,-
Italy,Graziano Pellè (9),15/07/1985,30,Southampton,1,1
Italy,Simone Zaza (7),25/06/1991,24,Juventus,-,-
Northern Ireland,Roy Carroll (12),30/09/1977,38,Notts County,-,-
Northern Ireland,Alan Mannus (23),19/05/1982,34,St Johnstone,-,-
Northern Ireland,Michael McGovern (1),12/07/1984,31,Hamilton,1,1
Northern Ireland,Chris Baird (6),25/02/1982,34,Fulham,1,-
Northern Ireland,Craig Cathcart (20),06/02/1989,27,Watford,1,-
Northern Ireland,Jonny Evans (5),03/01/1988,28,West Brom,1,-
Northern Ireland,Lee Hodson (22),02/10/1991,24,MK Dons,-,-
Northern Ireland,Aaron Hughes (18),08/11/1979,36,Melbourne City,-,-
Northern Ireland,Gareth McAuley (4),05/12/1979,36,West Brom,1,-
Northern Ireland,Luke McCullough (15),15/02/1994,22,Doncaster,-,-
Northern Ireland,Conor McLaughlin (2),26/07/1991,24,Fleetwood,1,-
Northern Ireland,Paddy McNair (17),27/04/1995,21,Man. United,1,-
Northern Ireland,Stuart Dallas (14),19/04/1991,25,Leeds,1,-
Northern Ireland,Steven Davis (8),01/01/1985,31,Southampton,1,-
Northern Ireland,Corry Evans (13),30/07/1990,25,Blackburn,-,-
Northern Ireland,Shane Ferguson (3),12/07/1991,24,Millwall,1,-
Northern Ireland,Josh Magennis (21),15/08/1990,25,Kilmarnock,-,-
Northern Ireland,Oliver Norwood (16),12/04/1991,25,Reading,1,-
Northern Ireland,Jamie Ward (19),12/05/1986,30,Nottm Forest,1,-
Northern Ireland,Will Grigg (9),03/07/1991,24,Wigan,-,-
Northern Ireland,Kyle Lafferty (10),16/09/1987,28,Birmingham,1,-
Northern Ireland,Niall McGinn (7),20/07/1987,28,Aberdeen,-,-
Northern Ireland,Conor Washington (11),18/05/1992,24,QPR,1,-
Poland,Artur Boruc (12),20/02/1980,36,Bournemouth,-,-
Poland,Łukasz Fabiański (22),18/04/1985,31,Swansea,-,-
Poland,Wojciech Szczęsny (1),18/04/1990,26,Roma,1,-
Poland,Thiago Cionek (4),21/04/1986,30,Palermo,-,-
Poland,Kamil Glik (15),03/02/1988,28,Torino,1,-
Poland,Artur Jędrzejczyk (3),04/11/1987,28,Legia,1,-
Poland,Michał Pazdan (2),21/09/1987,28,Legia,1,-
Poland,Łukasz Piszczek (20),03/06/1985,31,Dortmund,1,-
Poland,Bartosz Salamon (18),01/05/1991,25,Cagliari,-,-
Poland,Jakub Wawrzyniak (14),07/07/1983,32,Lechia,-,-
Poland,Jakub Błaszczykowski (16),14/12/1985,30,Fiorentina,1,-
Poland,Kamil Grosicki (11),08/06/1988,28,Rennes,1,-
Poland,Tomasz Jodłowiec (6),08/09/1985,30,Legia,1,-
Poland,Grzegorz Krychowiak (10),29/01/1990,26,Sevilla,1,-
Poland,Karol Linetty (8),02/02/1995,21,Lech,-,-
Poland,Krzysztof Mączyński (5),23/05/1987,29,Wisła,1,-
Poland,Sławomir Peszko (17),19/02/1985,31,Lechia,1,-
Poland,Filip Starzyński (23),27/05/1991,25,Zagłębie,-,-
Poland,Piotr Zieliński (19),20/05/1994,22,Empoli,-,-
Poland,Robert Lewandowski (9),21/08/1988,27,Bayern,1,-
Poland,Arkadiusz Milik (7),28/02/1994,22,Ajax,1,1
Poland,Mariusz Stępiński (13),12/05/1995,21,Ruch,-,-
Portugal,Eduardo (22),19/09/1982,33,Dinamo Zagreb,-,-
Portugal,Anthony Lopes (12),01/10/1990,25,Lyon,-,-
Portugal,Rui Patrício (1),15/02/1988,28,Sporting CP,1,1
Portugal,Bruno Alves (2),27/11/1981,34,Fenerbahçe,-,-
Portugal,Cédric (21),31/08/1991,24,Southampton,-,-
Portugal,Eliseu (19),01/10/1983,32,Benfica,-,-
Portugal,José Fonte (4),22/12/1983,32,Southampton,-,-
Portugal,Pepe (3),26/02/1983,33,Real Madrid,1,-
Portugal,Raphael Guerreiro (5),22/12/1993,22,Lorient,1,-
Portugal,Ricardo Carvalho (6),18/05/1978,38,Monaco,1,-
Portugal,Adrien Silva (23),15/03/1989,27,Sporting CP,-,-
Portugal,André Gomes (15),30/07/1993,22,Valencia,1,-
Portugal,Danilo (13),09/09/1991,24,Porto,1,-
Portugal,João Mário (10),19/01/1993,23,Sporting CP,1,-
Portugal,João Moutinho (8),08/09/1986,29,Monaco,1,-
Portugal,Rafa Silva (18),17/05/1993,23,Braga,-,-
Portugal,Renato Sanches (16),18/08/1997,18,Benfica,1,-
Portugal,Vieirinha (11),24/01/1986,30,Wolfsburg,1,-
Portugal,William Carvalho (14),07/04/1992,24,Sporting CP,-,-
Portugal,Éder (9),22/12/1987,28,LOSC,1,-
Portugal,Nani (17),17/11/1986,29,Fenerbahçe,1,1
Portugal,Ricardo Quaresma (20),26/09/1983,32,Beşiktaş,1,-
Portugal,Cristiano Ronaldo (7),05/02/1985,31,Real Madrid,1,-
Republic of Ireland,Shay Given (16),20/04/1976,40,Stoke,-,-
Republic of Ireland,Darren Randolph (23),12/05/1987,29,West Ham,1,1
Republic of Ireland,Keiren Westwood (1),23/10/1984,31,Sheff. Wednesday,-,-
Republic of Ireland,Cyrus Christie (15),30/09/1992,23,Derby,-,-
Republic of Ireland,Ciaran Clark (3),26/09/1989,26,Aston Villa,1,-
Republic of Ireland,Seamus Coleman (2),11/10/1988,27,Everton,1,-
Republic of Ireland,Shane Duffy (12),01/01/1992,24,Blackburn,-,-
Republic of Ireland,Richard Keogh (5),11/08/1986,29,Derby,-,-
Republic of Ireland,John O'Shea (4),30/04/1981,35,Sunderland,1,-
Republic of Ireland,Stephen Ward (17),20/08/1985,30,Burnley,-,-
Republic of Ireland,Robbie Brady (19),14/01/1992,24,Norwich,1,-
Republic of Ireland,Jeff Hendrick (13),31/01/1992,24,Derby,1,-
Republic of Ireland,Wes Hoolahan (20),20/05/1982,34,Norwich,1,1
Republic of Ireland,James McCarthy (8),12/11/1990,25,Everton,1,-
Republic of Ireland,James McClean (11),22/04/1989,27,West Brom,1,-
Republic of Ireland,Aiden McGeady (7),04/04/1986,30,Sheff. Wednesday,1,-
Republic of Ireland,David Meyler (18),29/05/1989,27,Hull,-,-
Republic of Ireland,Stephen Quinn (22),01/04/1986,30,Reading,-,-
Republic of Ireland,Glenn Whelan (6),13/01/1984,32,Stoke,1,-
Republic of Ireland,Robbie Keane (10),08/07/1980,35,LA Galaxy,1,-
Republic of Ireland,Shane Long (9),22/01/1987,29,Southampton,1,-
Republic of Ireland,Daryl Murphy (21),15/03/1983,33,Ipswich,-,-
Republic of Ireland,Jon Walters (14),20/09/1983,32,Stoke,1,-
Romania,Silviu Lung (23),04/06/1989,27,Astra,-,-
Romania,Costel Pantilimon (1),01/02/1987,29,Watford,-,-
Romania,Ciprian Tătăruşanu (12),09/02/1986,30,Fiorentina,2,3
Romania,Vlad Chiricheş (6),14/11/1989,26,Napoli,2,-
Romania,Steliano Filip (16),15/05/1994,22,Dinamo Bucureşti,1,-
Romania,Valerică Găman (15),25/02/1989,27,Astra,-,-
Romania,Dragoş Grigore (21),07/09/1986,29,Al-Sailiya,2,-
Romania,Alexandru Măţel (2),17/10/1989,26,Dinamo Zagreb,-,-
Romania,Cosmin Moţi (4),03/12/1984,31,Ludogorets,-,-
Romania,Răzvan Raţ (3),26/05/1981,35,Rayo Vallecano,2,-
Romania,Cristian Săpunaru (22),05/04/1984,32,Pandurii,2,-
Romania,Alexandru Chipciu (7),18/05/1989,27,Steaua,2,-
Romania,Ovidiu Hoban (5),27/12/1982,33,H. Beer-Sheva,2,-
Romania,Mihai Pintilii (8),09/11/1984,31,Steaua,2,-
Romania,Adrian Popa (20),24/07/1988,27,Steaua,1,-
Romania,Andrei Prepeliţă (18),08/12/1985,30,Ludogorets,1,-
Romania,Lucian Sânmărtean (17),13/03/1980,36,Al-Ittihad,-,-
Romania,Nicolae Stanciu (10),07/05/1993,23,Steaua,1,-
Romania,Gabriel Torje (11),22/11/1989,26,Osmanlıspor,2,-
Romania,Denis Alibec (9),05/01/1991,25,Astra,1,-
Romania,Florin Andone (14),11/04/1993,23,Córdoba,2,-
Romania,Claudiu Keșerü (13),02/12/1986,29,Ludogorets,1,-
Romania,Bogdan Stancu (19),28/06/1987,28,Gençlerbirliği,2,2
Russia,Igor Akinfeev (1),08/04/1986,30,CSKA Moskva,2,3
Russia,Guilherme (16),12/12/1985,30,Lokomotiv Moskva,-,-
Russia,Yuri Lodygin (12),26/05/1990,26,Zenit,-,-
Russia,Aleksei Berezutski (6),20/06/1982,33,CSKA Moskva,-,-
Russia,Vasili Berezutski (14),20/06/1982,33,CSKA Moskva,2,1
Russia,Sergei Ignashevich (4),14/07/1979,36,CSKA Moskva,2,-
Russia,Dmitri Kombarov (23),22/01/1987,29,Spartak Moskva,-,-
Russia,Roman Neustädter (5),18/02/1988,28,Schalke,2,-
Russia,Georgi Schennikov (21),27/04/1991,25,CSKA Moskva,2,-
Russia,Roman Shishkin (2),27/01/1987,29,Lokomotiv Moskva,-,-
Russia,Igor Smolnikov (3),08/08/1988,27,Zenit,2,-
Russia,Denis Glushakov (8),27/01/1987,29,Spartak Moskva,2,1
Russia,Aleksandr Golovin (13),30/05/1996,20,CSKA Moskva,2,-
Russia,Oleg Ivanov (18),04/08/1986,29,Terek,-,-
Russia,Pavel Mamaev (11),17/09/1988,27,Krasnodar,2,-
Russia,Aleksandr Samedov (19),19/07/1984,31,Lokomotiv Moskva,-,-
Russia,Oleg Shatov (17),29/07/1990,25,Zenit,2,-
Russia,Roman Shirokov (15),06/07/1981,34,CSKA Moskva,2,-
Russia,Dmitri Torbinski (20),28/04/1984,32,Krasnodar,-,-
Russia,Artur Yusupov (7),01/09/1989,26,Zenit,-,-
Russia,Artem Dzyuba (22),22/08/1988,27,Zenit,2,-
Russia,Aleksandr Kokorin (9),19/03/1991,25,Zenit,2,-
Russia,Fedor Smolov (10),09/02/1990,26,Krasnodar,2,-
Slovakia,Matúš Kozáčik (23),27/12/1983,32,Plzeň,2,3
Slovakia,Ján Mucha (1),05/12/1982,33,Slovan Bratislava,-,-
Slovakia,Ján Novota (12),29/11/1983,32,Rapid Wien,-,-
Slovakia,Ján Ďurica (4),10/12/1981,34,Lokomotiv Moskva,2,-
Slovakia,Norbert Gyömber (5),03/07/1992,23,Roma,-,-
Slovakia,Tomáš Hubočan (15),17/09/1985,30,Dinamo Moskva,1,-
Slovakia,Peter Pekarík (2),30/10/1986,29,Hertha,2,-
