name	team	birthday	age	club_name	club_country_code	caps	height	weight	position	matches	minutes	goals	assists	pa	pc	pc_perc	on_target	off_target	blocked	against_woodwork	fouls	suffered	yellow	red	longer_club_name	lat	lng	uefa_club_name	uefa_11_12	uefa_12_13	uefa_13_14	uefa_14_15	uefa_15_16	uefa_pts
Michael McGovern	Northern Ireland	12/07/1984	31	Hamilton	SCO	14	191	89	Goalkeeper	4	None	None	None	None	None	None	0	0	0	0	None	None	None	None	Hamilton Academical FC	55.77763299999999	-4.033327152999561	None	None	None	None	None	None	None
Arnor Ingvi Traustason	Iceland	30/04/1993	23	Norrköping	SWE	7	183	74	Defender	2	11	1	0	None	None	None	1	0	0	0	None	None	None	None	IFK Norrköping	58.58882975400047	16.192421	None	None	None	None	None	None	None
Jérôme Boateng	Germany	03/09/1988	27	Bayern	GER	62	192	90	Defender	4	328	1	0	None	None	None	1	0	1	0	2	2	1	0	FC Bayern München	48.1326687	11.499996453000449	FC Bayern München	33.050	36.585	29.942	31.171	31.171	31.171
Denis Alibec	Romania	05/01/1991	25	Astra	ROU	6	187	77	Forward	2	None	None	None	None	None	None	1	1	1	0	4	0	0	0	FC Astra Giurgiu	45.63917800000001	25.6269792	FC Astra Giurgiu	0.866	1.360	2.875	4.025	4.025	4.025
Nicolae Stanciu	Romania	07/05/1993	23	Steaua	ROU	7	170	69	Midfield	2	None	None	None	None	None	None	0	4	1	0	2	1	0	0	FC Steaua Bucureşti	44.42120380000001	24.3843233	FC Steaua Bucureşti	6.866	13.360	8.375	6.025	6.025	6.025
Alfred Finnbogason	Iceland	01/02/1989	27	Augsburg	GER	36	184	78	Forward	2	None	None	None	None	None	None	1	0	0	0	3	3	2	0	FC Augsburg	48.3705449	10.883326175000434	FC Augsburg	3.050	3.585	2.942	3.171	3.171	3.171
Ögmundur Kristinsson	Iceland	19/06/1989	27	Hammarby	SWE	11	192	89	Goalkeeper	0	None	None	None	None	None	None	0	0	0	0	None	None	None	None	Hammarby IF	60.545951	16.5699828	None	None	None	None	None	None	None
Tomáš Hubočan	Slovakia	17/09/1985	30	Dinamo Moskva	RUS	46	184	70	Defender	2	None	None	None	None	None	None	0	0	0	0	2	0	0	0	FC Dinamo Moskva	55.7902895900005	37.558184	FC Dinamo Moskva	1.950	3.450	2.083	17.933	17.933	17.933
Richard Keogh	Republic of Ireland	11/08/1986	29	Derby	ENG	12	188	87	Defender	2	None	None	None	None	None	None	0	0	0	0	1	4	0	0	Derby County FC	52.92276604800048	-1.4746186	None	None	None	None	None	None	None
Rui Patrício	Portugal	15/02/1988	28	Sporting CP	POR	47	190	84	Goalkeeper	4	None	None	None	None	None	None	0	0	0	0	None	None	None	None	Sporting Clube de Portugal	38.76196914700046	-9.162147531999608	Sporting Clube de Portugal	22.366	6.350	1.983	11.816	11.816	11.816
Neil Taylor	Wales	07/02/1989	27	Swansea	ENG	31	175	64	Defender	4	360	1	0	None	None	None	2	1	1	0	6	2	1	0	Swansea City AFC	51.62144	-3.9432271479995507	Swansea City AFC	3.050	3.285	10.357	2.714	2.714	2.714
Gareth McAuley	Northern Ireland	05/12/1979	36	West Brom	ENG	64	195	90	Defender	4	354	1	0	None	None	None	2	0	1	0	4	1	0	0	West Bromwich Albion FC	52.5120994	-1.9796204759995817	None	None	None	None	None	None	None
Migjen Basha	Albania	05/01/1987	29	Como	ITA	19	180	72	Midfield	1	None	None	None	None	None	None	1	1	0	0	2	1	1	0	Calcio Como	45.8131012	9.0721636	None	None	None	None	None	None	None
Nikola Kalinić	Croatia	05/01/1988	28	Fiorentina	ITA	30	187	80	Forward	2	122	1	1	None	None	None	2	1	0	0	3	2	0	0	ACF Fiorentina	42.96402994300047	10.536040042000423	ACF Fiorentina	2.271	2.883	17.833	23.800	23.800	23.800
Toni Kroos	Germany	04/01/1990	26	Real Madrid	ESP	68	182	78	Midfield	4	None	None	None	None	None	None	3	5	4	1	4	5	0	0	Real Madrid CF	40.42492708000049	-3.678367150999577	Real Madrid CF	36.171	29.542	39.600	33.042	33.042	33.042
Piotr Zieliński	Poland	20/05/1994	22	Empoli	ITA	16	177	64	Midfield	1	None	None	None	None	None	None	0	0	0	0	None	None	None	None	Empoli FC	44.1325193	12.225985209000442	None	None	None	None	None	None	None
Amir Abrashi	Albania	27/03/1990	26	Freiburg	GER	21	172	71	Midfield	3	None	None	None	None	None	None	1	0	2	0	4	9	1	0	SC Freiburg	47.9990077	7.85221964900046	SC Freiburg	3.050	3.585	7.942	3.171	3.171	3.171
Orges Shehi	Albania	25/09/1977	38	Skënderbeu	ALB	7	182	78	Goalkeeper	0	None	None	None	None	None	None	0	0	0	0	None	None	None	None	KF Skënderbeu	42.3764079	20.4385842	KF Skënderbeu	1.175	1.150	1.900	1.175	1.175	1.175
Luka Modrić	Croatia	09/09/1985	30	Real Madrid	ESP	91	174	65	Midfield	3	272	1	0	None	None	None	1	1	0	0	1	5	0	0	Real Madrid CF	40.42492708000049	-3.678367150999577	Real Madrid CF	36.171	29.542	39.600	33.042	33.042	33.042
Ladislav Krejčí	Czech Republic	05/07/1992	23	Sparta Praha	CZE	26	180	67	Midfield	3	None	None	None	None	None	None	1	0	0	0	4	2	0	0	AC Sparta Praha	50.09863665500046	14.413708396000459	AC Sparta Praha	2.550	9.700	2.100	7.775	7.775	7.775
Martin Harnik	Austria	10/06/1987	29	Stuttgart	GER	60	185	75	Midfield	2	None	None	None	None	None	None	0	2	0	0	4	4	1	0	VfB Stuttgart	48.7932328	9.1829321	VfB Stuttgart	3.050	12.585	4.442	3.171	3.171	3.171
Marcel Sabitzer	Austria	17/03/1994	22	Leipzig	GER	20	177	74	Midfield	3	None	None	None	None	None	None	0	2	0	0	None	None	None	None	RB Leipzig	51.3396955	12.3730747	None	None	None	None	None	None	None
Marwin Hitz	Switzerland	18/09/1987	28	Augsburg	GER	2	193	86	Goalkeeper	0	None	None	None	None	None	None	0	0	0	0	None	None	None	None	FC Augsburg	48.3705449	10.883326175000434	FC Augsburg	3.050	3.585	2.942	3.171	3.171	3.171
Danny Rose	England	02/07/1990	25	Tottenham	ENG	6	173	72	Defender	3	None	None	None	None	None	None	0	1	0	0	2	4	0	0	Tottenham Hotspur FC	51.603726097000504	-0.06783299999999999	Tottenham Hotspur FC	10.050	19.285	18.357	11.714	11.714	11.714
Robbie Brady	Republic of Ireland	14/01/1992	24	Norwich	ENG	25	175	69	Midfield	4	360	2	0	None	None	None	2	2	3	0	3	6	0	0	Norwich City FC	52.62272549999999	1.2983397260004494	None	None	None	None	None	None	None
Ricardo Quaresma	Portugal	26/09/1983	32	Beşiktaş	TUR	52	175	67	Forward	4	147	1	1	None	None	None	2	2	0	0	2	6	1	0	Beşiktaş JK	41.04540851900049	29.005740195000442	Beşiktaş JK	11.020	2.040	1.340	12.200	12.200	12.200
Ján Ďurica	Slovakia	10/12/1981	34	Lokomotiv Moskva	RUS	83	188	86	Defender	4	None	None	None	None	None	None	0	2	0	0	4	3	1	0	FC Lokomotiv Moskva	55.800076	37.739931	FC Lokomotiv Moskva	11.950	1.950	2.083	3.433	3.433	3.433
Yohan Cabaye	France	14/01/1986	30	Crystal Palace	ENG	47	174	71	Midfield	1	None	None	None	None	None	None	0	0	1	0	2	0	0	0	Crystal Palace FC	51.4003895	-0.07853809199957595	None	None	None	None	None	None	None
Mousa Dembélé	Belgium	16/07/1987	28	Tottenham	ENG	65	185	82	Midfield	1	None	None	None	None	None	None	0	0	0	0	3	1	0	0	Tottenham Hotspur FC	51.603726097000504	-0.06783299999999999	Tottenham Hotspur FC	10.050	19.285	18.357	11.714	11.714	11.714
Jason Denayer	Belgium	28/06/1995	20	Galatasaray	TUR	7	184	70	Defender	0	None	None	None	None	None	None	0	0	0	0	None	None	None	None	Galatasaray AŞ	41.103203	28.991243	Galatasaray AŞ	1.020	24.040	16.340	6.200	6.200	6.200
Patrik Hrošovský	Slovakia	22/04/1992	24	Plzeň	CZE	13	172	68	Midfield	2	None	None	None	None	None	None	0	0	0	0	3	0	1	0	FC Viktoria Plzeň	49.750358561000496	13.3842745	FC Viktoria Plzeň	10.050	15.700	12.600	1.775	1.775	1.775
Michy Batshuayi	Belgium	02/10/1993	22	Marseille	FRA	5	185	78	Forward	1	14	1	0	None	None	None	2	0	0	0	1	0	1	0	Olympique de Marseille	43.29661725200049	5.381065934000446	Olympique de Marseille	21.100	6.350	5.700	2.183	2.183	2.183
Ozan Tufan	Turkey	23/03/1995	21	Fenerbahçe	TUR	27	179	70	Midfield	3	270	1	0	None	None	None	2	1	0	0	4	5	1	0	Fenerbahçe SK	40.97428620000001	29.0430833	Fenerbahçe SK	1.020	24.040	1.340	1.200	1.200	1.200
Roland Juhász	Hungary	01/07/1983	32	Videoton	HUN	92	194	96	Defender	3	None	None	None	None	None	None	0	2	0	0	4	2	1	0	Videoton FC	47.1739681840005	18.413749941000447	Videoton FC	1.450	4.600	0.425	0.425	0.425	0.425
Mario Gomez	Germany	10/07/1985	30	Beşiktaş	TUR	66	189	93	Forward	3	199	2	0	None	None	None	5	1	2	0	3	1	0	0	Beşiktaş JK	41.04540851900049	29.005740195000442	Beşiktaş JK	11.020	2.040	1.340	12.200	12.200	12.200
Aleksandr Kokorin	Russia	19/03/1991	25	Zenit	RUS	41	181	74	Forward	3	None	None	None	None	None	None	0	1	3	0	2	5	0	0	FC Zenit	60.00394350000001	30.398305957000446	FC Zenit	19.950	14.950	18.083	18.933	18.933	18.933
Nathaniel Clyne	England	05/04/1991	25	Liverpool	ENG	13	175	67	Defender	1	None	None	None	None	None	None	1	0	0	0	None	None	None	None	Liverpool FC	53.41057676100047	-2.9779368059995477	Liverpool FC	3.050	12.285	3.357	12.714	12.714	12.714
Claudiu Keșerü	Romania	02/12/1986	29	Ludogorets	BUL	14	178	71	Forward	1	None	None	None	None	None	None	2	2	0	0	3	2	1	0	PFC Ludogorets Razgrad	43.8149115	27.1378769	PFC Ludogorets Razgrad	0.300	1.150	15.125	7.850	7.850	7.850
Roy Carroll	Northern Ireland	30/09/1977	38	Linfield	NIR	44	188	80	Goalkeeper	0	None	None	None	None	None	None	0	0	0	0	None	None	None	None	Linfield FC	52.57687259999999	-8.3642439	Linfield FC	1.100	1.200	0.675	0.775	0.775	0.775
Ivan Vargić	Croatia	15/03/1987	29	Rijeka	CRO	2	192	90	Goalkeeper	0	None	None	None	None	None	None	0	0	0	0	None	None	None	None	HNK Rijeka	45.3270631	14.447160033000443	HNK Rijeka	0.750	0.875	4.875	6.375	6.375	6.375
João Mário	Portugal	19/01/1993	23	Sporting CP	POR	13	179	73	Midfield	4	None	None	None	None	None	None	0	2	2	0	7	4	0	0	Sporting Clube de Portugal	38.76196914700046	-9.162147531999608	Sporting Clube de Portugal	22.366	6.350	1.983	11.816	11.816	11.816
Dragoş Grigore	Romania	07/09/1986	29	Al-Sailiya	QAT	23	185	76	Defender	3	None	None	None	None	None	None	0	0	0	0	4	4	1	0	Al-Sailiya SC	25.248606294000467	51.3797222	None	None	None	None	None	None	None
Bohdan Butko	Ukraine	13/01/1991	25	Amkar	RUS	18	180	68	Defender	1	None	None	None	None	None	None	0	0	0	0	1	0	0	0	FC Amkar Perm	57.99080582100049	56.24843557200052	None	None	None	None	None	None	None
Sergei Ignashevich	Russia	14/07/1979	36	CSKA Moskva	RUS	119	187	84	Defender	3	None	None	None	None	None	None	1	1	1	0	3	0	0	0	PFC CSKA Moskva	57.44911719900051	37.6173	PFC CSKA Moskva	17.950	3.450	8.083	9.933	9.933	9.933
Shay Given	Republic of Ireland	20/04/1976	40	Stoke	ENG	133	185	84	Goalkeeper	0	None	None	None	None	None	None	0	0	0	0	None	None	None	None	Stoke City FC	53.004145827000514	-2.179404	Stoke City FC	11.050	3.285	3.357	2.714	2.714	2.714
Jamie Ward	Northern Ireland	12/05/1986	30	Nottm Forest	ENG	25	165	68	Midfield	4	None	None	None	None	None	None	2	0	2	0	1	7	1	0	Nottingham Forest FC	53.0756752	0.033259992000409966	None	None	None	None	None	None	None
Róbert Mak	Slovakia	08/03/1991	25	PAOK	GRE	30	179	78	Midfield	3	None	None	None	None	None	None	2	3	0	0	1	1	1	0	PAOK Thessaloniki	40.6400629	22.98016972700043	PAOK FC	11.520	2.380	10.220	6.240	6.240	6.240
Eduardo	Portugal	19/09/1982	33	Dinamo Zagreb	CRO	35	188	89	Goalkeeper	0	None	None	None	None	None	None	0	0	0	0	None	None	None	None	GNK Dinamo Zagreb	45.82139720800046	16.047697900000458	GNK Dinamo Zagreb	4.750	5.875	2.875	5.375	5.375	5.375
Jack Wilshere	England	01/01/1992	24	Arsenal	ENG	33	172	65	Midfield	3	None	None	None	None	None	None	0	1	0	0	1	2	0	0	Arsenal FC	51.5540370060005	-0.105505	Arsenal FC	22.050	21.285	21.357	22.714	22.714	22.714
Gerard Piqué	Spain	02/02/1987	29	Barcelona	ESP	80	193	85	Defender	4	360	1	0	None	None	None	4	2	1	0	1	2	0	0	FC Barcelona	41.3813544	2.1203177860004416	FC Barcelona	34.171	27.542	28.600	38.042	38.042	38.042
Stefan Ilsanker	Austria	18/05/1989	27	Leipzig	GER	17	189	86	Midfield	2	None	None	None	None	None	None	1	0	0	0	2	1	0	0	RB Leipzig	51.3396955	12.3730747	None	None	None	None	None	None	None
Attila Fiola	Hungary	17/02/1990	26	Puskás Akadémia	HUN	16	182	70	Defender	1	None	None	None	None	None	None	1	0	0	0	1	0	0	0	Puskás Akadémia FC	47.42217965800046	18.582925929000453	None	None	None	None	None	None	None
Markus Suttner	Austria	16/04/1987	29	Ingolstadt	GER	16	179	72	Defender	0	None	None	None	None	None	None	0	0	0	0	None	None	None	None	FC Ingolstadt 04	48.76507649300049	11.4257541	None	None	None	None	None	None	None
John Guidetti	Sweden	15/04/1992	24	Celta	ESP	11	185	79	Forward	3	None	None	None	None	None	None	0	1	0	0	1	1	0	0	Celta de Vigo	42.228974	-8.847789959999602	None	None	None	None	None	None	None
David de Gea	Spain	07/11/1990	25	Man. United	ENG	12	192	76	Goalkeeper	4	None	None	None	None	None	None	0	0	0	0	None	None	None	None	Manchester United FC	53.4630484	-2.2951326	Manchester United FC	16.050	21.285	26.357	2.714	2.714	2.714
Dries Mertens	Belgium	06/05/1987	29	Napoli	ITA	48	169	61	Forward	4	None	None	None	None	None	None	4	4	4	0	2	2	0	0	SSC Napoli	40.85405189999999	14.2681244	SSC Napoli	21.271	8.883	18.833	25.800	25.800	25.800
Ricardo Carvalho	Portugal	18/05/1978	38	Monaco	FRA	88	183	78	Defender	3	None	None	None	None	None	None	0	2	0	0	4	2	0	0	AS Monaco FC	43.73741099999999	7.420815999999999	AS Monaco FC	2.100	2.350	1.700	23.183	23.183	23.183
Mattia De Sciglio	Italy	20/10/1992	23	Milan	ITA	23	183	74	Defender	3	None	None	None	None	None	None	0	0	1	0	2	6	1	0	AC Milan	45.4654219	9.189509981000413	AC Milan	22.271	19.883	18.833	3.800	3.800	3.800
Lee Hodson	Northern Ireland	02/10/1991	24	MK Dons	ENG	16	174	71	Defender	0	None	None	None	None	None	None	0	0	0	0	None	None	None	None	Milton Keynes Dons FC	52.009257111000466	-0.7352188199995453	None	None	None	None	None	None	None
Viktor Kovalenko	Ukraine	14/02/1996	20	Shakhtar Donetsk	UKR	6	182	75	Midfield	3	None	None	None	None	None	None	0	2	0	0	2	6	0	0	FC Shakhtar Donetsk	47.971263	37.80285	FC Shakhtar Donetsk	9.550	18.900	12.566	19.000	19.000	19.000
Cyrus Christie	Republic of Ireland	30/09/1992	23	Derby	ENG	5	188	78	Defender	0	None	None	None	None	None	None	0	0	0	0	None	None	None	None	Derby County FC	52.92276604800048	-1.4746186	None	None	None	None	None	None	None
Conor Washington	Northern Ireland	18/05/1992	24	QPR	ENG	7	178	74	Forward	4	None	None	None	None	None	None	0	3	0	0	3	1	0	0	Queens Park Rangers FC	51.51074999999999	-0.230056	None	None	None	None	None	None	None
Marko Arnautović	Austria	19/04/1989	27	Stoke	ENG	54	192	83	Forward	3	None	None	None	None	None	None	2	2	0	0	4	4	0	0	Stoke City FC	53.004145827000514	-2.179404	Stoke City FC	11.050	3.285	3.357	2.714	2.714	2.714
Shane Duffy	Republic of Ireland	01/01/1992	24	Blackburn	ENG	3	193	76	Defender	2	None	None	None	None	None	None	0	3	0	0	3	0	0	1	Blackburn Rovers FC	53.7499996410005	-2.48332719599955	None	None	None	None	None	None	None
Vasili Berezutski	Russia	20/06/1982	34	CSKA Moskva	RUS	98	189	87	Defender	3	225	1	0	None	None	None	1	1	0	0	1	1	0	0	PFC CSKA Moskva	57.44911719900051	37.6173	PFC CSKA Moskva	17.950	3.450	8.083	9.933	9.933	9.933
Joe Ledley	Wales	23/01/1987	29	Crystal Palace	ENG	64	183	73	Midfield	4	None	None	None	None	None	None	0	0	0	0	2	5	0	0	Crystal Palace FC	51.4003895	-0.07853809199957595	None	None	None	None	None	None	None
Stephen Ward	Republic of Ireland	20/08/1985	30	Burnley	ENG	33	184	72	Defender	3	None	None	None	None	None	None	1	1	1	0	1	1	1	0	Burnley FC	53.78874339999999	-2.2328754	None	None	None	None	None	None	None
Şener Özbayraklı	Turkey	23/01/1990	26	Fenerbahçe	TUR	8	171	71	Defender	0	None	None	None	None	None	None	0	0	0	0	None	None	None	None	Fenerbahçe SK	40.97428620000001	29.0430833	Fenerbahçe SK	1.020	24.040	1.340	1.200	1.200	1.200
Semih Kaya	Turkey	24/02/1991	25	Galatasaray	TUR	23	183	66	Defender	0	None	None	None	None	None	None	0	0	0	0	None	None	None	None	Galatasaray AŞ	41.103203	28.991243	Galatasaray AŞ	1.020	24.040	16.340	6.200	6.200	6.200
Andreas Granqvist	Sweden	16/04/1985	31	Krasnodar	RUS	54	192	84	Defender	3	None	None	None	None	None	None	0	0	1	0	6	7	0	0	FC Krasnodar	45.03926740000001	38.97485574200044	FC Krasnodar	1.950	1.950	2.083	6.933	6.933	6.933
Andy King	Wales	29/10/1988	27	Leicester	ENG	34	183	74	Midfield	1	None	None	None	None	None	None	0	0	0	0	1	0	0	0	Leicester City FC	52.63859826400051	-1.131687637999562	None	None	None	None	None	None	None
Lucian Sânmărtean	Romania	13/03/1980	36	Al-Ittihad	KSA	21	175	70	Midfield	1	None	None	None	None	None	None	0	0	1	0	3	2	0	0	Al-Ittihad Club	21.542568660000427	39.2139977	None	None	None	None	None	None	None
Aritz Aduriz	Spain	11/02/1981	35	Athletic	ESP	8	181	75	Forward	3	None	None	None	None	None	None	0	3	1	0	2	1	0	0	Athletic Bilbao	43.268669985000486	-2.9349852	Athletic Club	27.171	7.542	4.600	14.042	14.042	14.042
Fabian Schär	Switzerland	20/12/1991	24	Hoffenheim	GER	23	186	84	Defender	4	390	1	0	None	None	None	3	3	1	0	3	2	2	0	TSG 1899 Hoffenheim	49.27284710000001	8.841700090000415	None	None	None	None	None	None	None
Arlind Ajeti	Albania	25/09/1993	22	Frosinone	ITA	11	185	81	Defender	2	None	None	None	None	None	None	0	0	0	0	1	2	0	0	Frosinone Calcio	41.64001725500049	13.34009916600047	None	None	None	None	None	None	None
Admir Mehmedi	Switzerland	16/03/1991	25	Leverkusen	GER	45	183	81	Forward	4	307	1	0	None	None	None	2	2	2	0	2	5	0	0	Bayer 04 Leverkusen	51.03319008200049	6.984318665000444	Bayer 04 Leverkusen	19.050	12.585	18.942	21.171	21.171	21.171
Giorgio Chiellini	Italy	14/08/1984	31	Juventus	ITA	86	187	86	Defender	3	270	1	0	None	None	None	1	0	0	0	3	9	1	0	Torino Juventus	45.1089928	7.638763099999998	Juventus	2.271	25.883	25.833	32.800	32.800	32.800
Jordi Alba	Spain	21/03/1989	27	Barcelona	ESP	46	170	68	Defender	4	None	None	None	None	None	None	1	0	1	0	2	3	1	0	FC Barcelona	41.3813544	2.1203177860004416	FC Barcelona	34.171	27.542	28.600	38.042	38.042	38.042
Luke McCullough	Northern Ireland	15/02/1994	22	Doncaster	ENG	5	185	81	Defender	0	None	None	None	None	None	None	0	0	0	0	None	None	None	None	Doncaster Rovers FC	53.52326926100051	-1.128462	None	None	None	None	None	None	None
 Olexandr Zinchenko	Ukraine	15/12/1996	19	Ufa	RUS	6	175	61	Midfield	3	None	None	None	None	None	None	1	4	0	0	None	None	None	None	FC Ufa	54.749613541000485	55.98563915000051	None	None	None	None	None	None	None
Vladimír Weiss	Slovakia	30/11/1989	26	Al-Gharafa	QAT	55	173	71	Midfield	4	278	1	1	None	None	None	2	2	0	0	4	3	1	0	Al-Gharafa Sports Club	25.3325814	51.44670929999999	None	None	None	None	None	None	None
