team,name,birthday,age,club,club_country,caps,height,weight,position,club_city,club_country_code,lat,lng
England,Kyle Walker,28/05/1990,26,Tottenham,ENG,18,178,70,Defender,London,GB,51.60496740000001,-0.0722785
England,Danny Rose,02/07/1990,25,Tottenham,ENG,6,173,72,Defender,London,GB,51.60496740000001,-0.0722785
England,Gary Cahill,19/12/1985,30,Chelsea,ENG,45,193,86,Defender,London,GB,51.485093,-0.174936
England,Chris Smalling,22/11/1989,26,Man. United,ENG,27,192,81,Defender,Stretford,GB,53.4630484,-2.2951326
England,Nathaniel Clyne,05/04/1991,25,Liverpool,ENG,12,175,67,Defender,Liverpool,GB,53.4083714,-2.9915726
England,John Stones,28/05/1994,22,Everton,ENG,10,188,70,Defender,Everton,GB,53.425713,-2.966368
England,Ryan Bertrand,05/08/1989,26,Southampton,ENG,8,179,85,Defender,Southampton,GB,50.90970040000001,-1.4043509
England,James Milner,04/01/1986,30,Liverpool,ENG,61,175,70,Midfield,Liverpool,GB,53.4083714,-2.9915726
England,Raheem Sterling,08/12/1994,21,Man. City,ENG,25,170,69,Midfield,Manchester,GB,53.4807593,-2.2426305
England,Adam Lallana,10/05/1988,28,Liverpool,ENG,25,172,73,Midfield,Liverpool,GB,53.4083714,-2.9915726
England,Jordan Henderson,17/06/1990,25,Liverpool,ENG,26,182,67,Midfield,Liverpool,GB,53.4083714,-2.9915726
England,Eric Dier,15/01/1994,22,Tottenham,ENG,9,188,88,Midfield,London,GB,51.60496740000001,-0.0722785
England,Jack Wilshere,01/01/1992,24,Arsenal,ENG,32,172,65,Midfield,London,GB,51.5584654,-0.1057342
England,Ross Barkley,05/12/1993,22,Everton,ENG,22,189,76,Midfield,Everton,GB,53.425713,-2.966368
England,Dele Alli,11/04/1996,20,Tottenham,ENG,10,188,73,Midfield,London,GB,51.60496740000001,-0.0722785
England,Harry Kane,28/07/1993,22,Tottenham,ENG,14,188,65,Forward,London,GB,51.60496740000001,-0.0722785
England,Wayne Rooney,24/10/1985,30,Man. United,ENG,113,176,83,Forward,Stretford,GB,53.4630484,-2.2951326
England,Jamie Vardy,11/01/1987,29,Leicester,ENG,9,178,76,Forward,Leicester,GB,52.6368778,-1.1397592
England,Daniel Sturridge,01/09/1989,26,Liverpool,ENG,19,188,76,Forward,Liverpool,GB,53.4083714,-2.9915726
England,Marcus Rashford,31/10/1997,18,Man. United,ENG,2,180,70,Forward,Stretford,GB,53.4630484,-2.2951326
France,Hugo Lloris,26/12/1986,29,Tottenham,ENG,77,188,73,Goalkeeper,London,GB,51.60496740000001,-0.0722785
France,Steve Mandanda,28/03/1985,31,Marseille,FRA,22,185,82,Goalkeeper,Marseille,FR,43.296482,5.36978
France,Benoît Costil,03/07/1987,28,Rennes,FRA,0,188,86,Goalkeeper,Rennes,FR,48.117266,-1.6777926
France,Christophe Jallet,31/10/1983,32,Lyon,FRA,11,178,70,Defender,Lyon,FR,45.764043,4.835659
France,Patrice Evra,15/05/1981,35,Juventus,ITA,75,174,74,Defender,São Paulo,BR,-23.5711578,-46.5904639
France,Adil Rami,27/12/1985,30,Sevilla,ESP,30,190,90,Defender,Seville,ES,37.3890924,-5.9844589
France,Eliaquim Mangala,13/02/1991,25,Man. City,ENG,7,188,84,Defender,Manchester,GB,53.4807593,-2.2426305
France,Lucas Digne,20/07/1993,22,Roma,ITA,13,178,74,Defender,Rome,IT,41.9027835,12.4963655
France,Bacary Sagna,14/02/1983,33,Man. City,ENG,59,176,72,Defender,Manchester,GB,53.4807593,-2.2426305
France,Laurent Koscielny,10/09/1985,30,Arsenal,ENG,31,186,75,Defender,London,GB,51.5584654,-0.1057342
France,Samuel Umtiti,14/11/1993,22,Lyon,FRA,0,180,75,Defender,Lyon,FR,45.764043,4.835659
France,N'Golo Kanté,29/03/1991,25,Leicester,ENG,6,169,68,Midfield,Leicester,GB,52.6368778,-1.1397592
France,Yohan Cabaye,14/01/1986,30,Crystal Palace,ENG,46,174,71,Midfield,London,GB,51.4198825,-0.0785415
France,Dimitri Payet,29/03/1987,29,West Ham,ENG,21,175,77,Midfield,Westham,GB,50.815665,0.323885
France,Morgan Schneiderlin,08/11/1989,26,Man. United,ENG,15,180,75,Midfield,Stretford,GB,53.4630484,-2.2951326
France,Blaise Matuidi,09/04/1987,29,Paris,FRA,46,175,70,Midfield,Paris,FR,48.856614,2.3522219
France,Paul Pogba,15/03/1993,23,Juventus,ITA,33,191,84,Midfield,São Paulo,BR,-23.5711578,-46.5904639
France,Moussa Sissoko,16/08/1989,26,Newcastle,ENG,39,187,83,Midfield,Newcastle upon Tyne,GB,54.978252,-1.61778
France,Kingsley Coman,13/06/1996,20,Bayern,GER,7,178,71,Midfield,None,DE,48.7904472,11.4978895
France,Antoine Griezmann,21/03/1991,25,Atlético,ESP,29,176,67,Forward,Madrid,ES,40.3757325,-3.7423397
France,Olivier Giroud,30/09/1986,29,Arsenal,ENG,51,192,88,Forward,London,GB,51.5584654,-0.1057342
France,André-Pierre Gignac,05/12/1985,30,Tigres,MEX,28,187,84,Forward,Monterrey,MX,25.6542431,-100.2818836
France,Anthony Martial,05/12/1995,20,Man. United,ENG,11,181,76,Forward,Stretford,GB,53.4630484,-2.2951326
Germany,Manuel Neuer,27/03/1986,30,Bayern,GER,66,193,92,Goalkeeper,None,DE,48.7904472,11.4978895
Germany,Bernd Leno,04/03/1992,24,Leverkusen,GER,1,190,83,Goalkeeper,LEV,DE,51.04592479999999,7.0192196
Germany,Marc-André ter Stegen,30/04/1992,24,Barcelona,ESP,6,187,85,Goalkeeper,Barcelona,ES,41.3850639,2.1734035
Germany,Shkodran Mustafi,17/04/1992,24,Valencia,ESP,11,184,82,Defender,Valencia,ES,39.4699075,-0.3762881
Germany,Jonas Hector,27/05/1990,26,Köln,GER,15,185,75,Defender,Cologne,DE,50.937531,6.9602786
Germany,Benedikt Höwedes,29/02/1988,28,Schalke,GER,35,187,82,Defender,GE,DE,51.5196426,7.087121
Germany,Mats Hummels,16/12/1988,27,Dortmund,GER,46,191,92,Defender,DO,DE,51.5135872,7.465298100000001
Germany,Jonathan Tah,11/02/1996,20,Leverkusen,GER,1,-,-,Defender,LEV,DE,51.04592479999999,7.0192196
Germany,Jérôme Boateng,03/09/1988,27,Bayern,GER,60,192,90,Defender,None,DE,48.7904472,11.4978895
Germany,Joshua Kimmich,08/02/1995,21,Bayern,GER,1,176,70,Defender,None,DE,48.7904472,11.4978895
Germany,Sami Khedira,04/04/1987,29,Juventus,ITA,61,189,90,Midfield,São Paulo,BR,-23.5711578,-46.5904639
Germany,Bastian Schweinsteiger,01/08/1984,31,Man. United,ENG,116,183,79,Midfield,Stretford,GB,53.4630484,-2.2951326
Germany,Mesut Özil,15/10/1988,27,Arsenal,ENG,74,180,76,Midfield,London,GB,51.5584654,-0.1057342
Germany,André Schürrle,06/11/1990,25,Wolfsburg,GER,53,184,74,Midfield,WOB,DE,52.4226503,10.7865461
Germany,Julian Draxler,20/09/1993,22,Wolfsburg,GER,20,187,72,Midfield,WOB,DE,52.4226503,10.7865461
Germany,Emre Can,12/01/1994,22,Liverpool,ENG,6,184,82,Midfield,Liverpool,GB,53.4083714,-2.9915726
Germany,Julian Weigl,08/09/1995,20,Dortmund,GER,1,186,71,Midfield,DO,DE,51.5135872,7.465298100000001
Germany,Toni Kroos,04/01/1990,26,Real Madrid,ESP,66,182,78,Midfield,Madrid,ES,40.3626461,-3.7388727
Germany,Mario Götze,03/06/1992,24,Bayern,GER,53,176,64,Midfield,None,DE,48.7904472,11.4978895
Germany,Leroy Sané,11/01/1996,20,Schalke,GER,3,183,75,Midfield,GE,DE,51.5196426,7.087121
Germany,Lukas Podolski,04/06/1985,31,Galatasaray,TUR,128,182,83,Forward,None,TR,36.548905,31.989431
Germany,Thomas Müller,13/09/1989,26,Bayern,GER,72,186,74,Forward,None,DE,48.7904472,11.4978895
Germany,Mario Gomez,10/07/1985,30,Beşiktaş,TUR,64,189,93,Forward,None,TR,41.068616,29.0285355
Hungary,Gábor Király,01/04/1976,40,Haladás,HUN,103,190,85,Goalkeeper,Nadap,HU,47.257112,18.6171884
Hungary,Dénes Dibusz,16/11/1990,25,Ferencváros,HUN,4,188,81,Goalkeeper,Budapest,HU,47.4683766,19.0819885
Hungary,Péter Gulácsi,06/05/1990,26,Leipzig,GER,3,190,83,Goalkeeper,Leipzig,DE,51.3396955,12.3730747
Hungary,Ádám Lang,17/01/1993,23,Videoton,HUN,12,185,77,Defender,Veszprém,HU,47.0498377,17.9124854
Hungary,Mihály Korhut,01/12/1988,27,Debrecen,HUN,5,181,76,Defender,Debrecen,HU,47.5316049,21.6273123
Hungary,Tamás Kádár,14/03/1990,26,Lech,POL,30,188,79,Defender,Gdańsk,PL,54.3788433,18.468075
Hungary,Attila Fiola,17/02/1990,26,Puskás Akadémia,HUN,16,182,70,Defender,None,None,None,None
Hungary,Ádám Pintér,12/06/1988,28,Ferencváros,HUN,21,190,76,Defender,Budapest,HU,47.4683766,19.0819885
Hungary,Richárd Guzmics,16/04/1987,29,Wisła,POL,15,190,80,Defender,Wisła,PL,49.6473215,18.867739
Hungary,Barnabás Bese,06/05/1994,22,MTK,HUN,1,188,84,Defender,Budapest,HU,47.5068059,19.0179405
Hungary,Roland Juhász,01/07/1983,32,Videoton,HUN,91,194,96,Defender,Veszprém,HU,47.0498377,17.9124854
Hungary,Ákos Elek,21/07/1988,27,Diósgyőr,HUN,38,193,91,Midfield,Miskolc,HU,48.10002129999999,20.6899256
Hungary,Ádám Nagy,17/06/1995,20,Ferencváros,HUN,9,178,74,Midfield,Budapest,HU,47.4683766,19.0819885
Hungary,Gergő Lovrencsics,01/09/1988,27,Lech,POL,12,177,79,Midfield,Gdańsk,PL,54.3788433,18.468075
Hungary,László Kleinheisler,08/04/1994,22,Bremen,GER,6,173,70,Midfield,Bremen,DE,53.07929619999999,8.8016937
Hungary,Zoltán Stieber,16/10/1988,27,Nürnberg,GER,13,175,67,Midfield,Nord,DE,49.45203,11.07675
Hungary,Balázs Dzsudzsák,23/12/1986,29,Bursaspor,TUR,78,179,72,Forward,None,None,None,None
Hungary,Ádám Szalai,09/12/1987,28,Hannover,GER,32,193,91,Forward,Hanover,DE,52.3758916,9.732010400000002
Hungary,Zoltán Gera,22/04/1979,37,Ferencváros,HUN,89,183,75,Forward,Budapest,HU,47.4683766,19.0819885
Hungary,Krisztián Németh,05/01/1989,27,Al-Gharafa,QAT,24,180,74,Forward,None,QA,25.3325814,51.44670929999999
Hungary,Dániel Böde,24/10/1986,29,Ferencváros,HUN,12,185,77,Forward,Budapest,HU,47.4683766,19.0819885
Hungary,Nemanja Nikolić,31/12/1987,28,Legia,POL,18,180,80,Forward,Pińczów,PL,50.5145668,20.5206169
Hungary,Tamás Priskin,27/09/1986,29,Slovan Bratislava,SVK,56,189,90,Forward,Bratislava,SK,48.1727265,17.1315226
Iceland,Hannes Halldórsson,27/04/1984,32,Bodø/Glimt,NOR,34,193,87,Goalkeeper,Bodo,NO,67.2803556,14.404916
Iceland,Ögmundur Kristinsson,19/06/1989,26,Hammarby,SWE,11,192,89,Goalkeeper,Hammarby,SE,60.545951,16.5699828
Iceland,Ingvar Jónsson,18/10/1989,26,Sandefjord,NOR,5,188,82,Goalkeeper,Sandefjord,NO,59.1313095,10.2165948
Iceland,Birkir Sævarsson,11/11/1984,31,Hammarby,SWE,58,187,81,Defender,Hammarby,SE,60.545951,16.5699828
Iceland,Haukur Heidar Hauksson,01/09/1991,24,AIK,SWE,7,187,79,Defender,Sjöbo,SE,55.6299905,13.6625538
Iceland,Hjörtur Hermannsson,08/02/1995,21,Göteborg,SWE,3,189,81,Defender,Gothenburg,SE,57.70887,11.97456
Iceland,Sverrir Ingason,05/08/1993,22,Lokeren,BEL,6,188,83,Defender,Lokeren,BE,51.10234130000001,3.9940663
Iceland,Ragnar Sigurdsson,19/06/1986,29,Krasnodar,RUS,57,187,77,Defender,Krasnodar,RU,45.03926740000001,38.987221
Iceland,Elmar Bjarnason,04/03/1987,29,AGF,DEN,28,183,78,Defender,Viby J,DK,56.126591,10.1769624
Iceland,Hordur Magnússon,11/02/1993,23,Cesena,ITA,5,190,81,Defender,Cesena,IT,44.1396438,12.2464292
Iceland,Arnor Ingvi Traustason,30/04/1993,23,Norrköping,SWE,7,183,74,Defender,Norrköping,SE,58.587745,16.192421
Iceland,Ari Skúlason,14/05/1987,29,OB,DEN,39,170,65,Defender,פ"ת,IL,32.084018,34.862965
Iceland,Birkir Bjarnason,27/05/1988,28,Basel,SUI,48,182,75,Midfield,Basel,CH,47.5595986,7.5885761
